Address,Label
b0:52:16:12:85:d5,unidentified
da:a1:19:f5:41:4c,unidentified
da:a1:19:ed:a3:a4,unidentified
da:a1:19:e7:4e:c6,unidentified
da:a1:19:9e:d9:c0,unidentified
da:a1:19:9c:ff:ac,unidentified
da:a1:19:90:59:40,unidentified
da:a1:19:6f:c1:7a,unidentified
da:a1:19:5d:8d:68,unidentified
da:a1:19:55:03:59,unidentified
da:a1:19:45:2c:f4,unidentified
da:a1:19:42:9d:75,unidentified
da:a1:19:12:17:58,unidentified
da:a1:19:0c:17:61,unidentified
08:be:ac:06:08:a2,unidentified
b0:fc:36:2e:9d:17,unidentified
48:5f:99:41:79:5b,unidentified
c8:94:02:df:ae:a3,unidentified
f0:03:8c:66:b2:8d,unidentified
6c:96:cf:dc:3f:f3,unidentified
3c:15:c2:db:9d:00,unidentified
ec:2c:e2:97:6d:55,unidentified
f4:d4:88:78:b6:0b,unidentified
d8:4c:90:56:29:c5,unidentified
88:a9:b7:46:d8:7f,unidentified
80:b0:3d:0e:b6:39,unidentified
8c:85:90:08:bf:cd,unidentified
38:4b:76:09:6c:86,wireless_presentation
38:4b:76:09:6c:4e,wireless_presentation
60:ab:67:8a:f9:64,phone
50:8e:49:68:07:c8,phone
30:07:4d:89:d3:c1,phone
00:1c:c2:51:53:7d,unidentified
98:22:ef:d9:71:1f,unidentified
10:3d:1c:e8:38:9d,computer
